,ims,ret,Tx,Ty,Tz,dist2mean
A07,11,3.2253441609937874,-223.82,-2.25,-25.53,10.184477389021996
A10,19,1.3135621759308762,-218.17,-10.2,-7.95,24.808315736613412
B07,18,2.2239737290326005,-215.88,1.21,-27.42,16.28800646756688
B10,21,1.0808742122396278,-233.83,8.57,-20.32,5.792208532805082
B15,21,0.9579771189029131,-247.69,15.11,-7.27,25.3170970825547
C07,13,0.9659965078421435,-222.53,-0.5,-32.78,13.815263467900285
C10,8,1.4442384511659239,-237.33,25.49,-30.8,23.34020843282039
C15,13,2.3106501461007083,-251.38,-3.52,-33.86,23.97933859987592
